Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h)
0,2.0,3.312459180918515,1.3124591809185149,22.873150322249195,45.52384284253779
1,2.0,3.2587609766778316,1.2587609766778316,23.598206183154147,46.35021126883921
2,2.0,3.1789577006932035,1.1789577006932035,24.352955830003882,47.16988523904478
3,2.0,3.0852348151555726,1.0852348151555726,25.459366974774483,47.948524555239246
4,2.0,3.0823848200327006,1.0823848200327006,25.850529077887586,48.68551165762849
5,2.0,3.086441390799538,1.0864413907995378,26.18833215751645,49.15821437801665
6,2.0,3.0917084835041,1.0917084835041,26.51342613110848,49.20992956279925
7,2.0,3.1202860790435216,1.1202860790435216,26.836757882111687,48.83245596956305
8,2.0,3.1063436393594297,1.1063436393594297,27.160039770613327,48.171891751408175
9,2.0,3.099677437149377,1.099677437149377,27.487938970543784,47.364653389747446
10,2.0,3.0979021464287233,1.0979021464287233,27.813016639545026,46.49002281004146
11,2.0,3.0941536510642833,1.0941536510642833,28.13663376983869,45.57488884691569
12,2.0,3.0866871368524498,1.0866871368524498,28.475346469352658,44.69220978261567
13,2.0,3.071901026319231,1.0719010263192308,28.864185346391,43.842221684148114
14,2.0,3.0520406541710936,1.0520406541710936,29.285239360866676,43.050055219274064
15,2.0,3.0077777080280153,1.0077777080280153,29.725544962103804,42.34937716093863
16,2.0,2.983410900219925,0.9834109002199249,30.169085123039505,41.75322594722414
17,2.0,2.97808625350502,0.9780862535050199,30.605166919449147,41.24168119697186
18,2.0,2.9558092308456687,0.9558092308456687,31.0290687395378,40.80596491032282
19,2.0,2.931755388128554,0.9317553881285541,31.441932663392738,40.39561656591409
20,2.0,2.9086052071835122,0.9086052071835122,31.837639110736117,39.97277793399365
21,2.0,2.88632486839881,0.8863248683988099,32.21605188468231,39.55657310742238
22,2.0,2.853621378808416,0.8536213788084162,32.57257503611563,39.13843938613542
23,2.0,2.826314763972345,0.8263147639723449,32.90834123485375,38.688576342775775
24,2.0,2.808054417858774,0.8080544178587741,33.21723478903681,38.228381456286556
25,2.0,2.7908574693683605,0.7908574693683605,33.50352261738951,37.742695745844266
26,2.0,2.7776939233037865,0.7776939233037865,33.76473268602741,37.254761601917316
27,2.0,2.7787523525422317,0.7787523525422317,34.007399489913645,36.75974267008256
28,2.0,2.764062505750562,0.7640625057505619,34.230385975975324,36.274938874112166
29,2.0,2.7481615100570584,0.7481615100570584,34.45810399831829,35.79805697617789
30,2.0,2.7231192801833233,0.7231192801833233,34.70574302693764,35.317926470955214
31,2.0,2.6919169371415737,0.6919169371415737,34.96600213998785,34.86653310361813
32,2.0,2.671544228976583,0.671544228976583,35.22318450159376,34.44637231538666
33,2.0,2.6509730713041595,0.6509730713041595,35.474317932941574,34.02900561004473
34,2.0,2.6308539260971924,0.6308539260971924,35.711029460771755,33.631872240929354
35,2.0,2.629020406289949,0.6290204062899489,35.935574059104596,33.23021053465186
36,2.0,2.6096601079494066,0.6096601079494066,36.14346994873421,32.83746694096724
37,2.0,2.589373641898496,0.5893736418984958,36.35575755959368,32.437892803757556
38,2.0,2.567584409812534,0.5675844098125342,36.58076931037606,32.04180240289918
39,2.0,2.5382260682483206,0.5382260682483206,36.812677437682794,31.641083280047276
40,2.0,2.5049745717624035,0.5049745717624035,37.0378276662706,31.244024234637184
41,2.0,2.482206082953186,0.4822060829531858,37.25323130052546,30.842093502627623
42,2.0,2.460194817193654,0.46019481719365407,37.449073221467415,30.45294302701756
43,2.0,2.4496440738531624,0.4496440738531624,37.62888870973182,30.06543880510773
44,2.0,2.4350116611256283,0.4350116611256283,37.78790010634856,29.69074861354969
