Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Req Torque (Nm),Req Decel (m/s^2)
0,4.0,12.639962860162363,8.639962860162363,48.08430953814864,77.52662102886212,-0.0,0.0
1,4.0,12.888953573996243,8.888953573996243,47.27134556795937,77.52562947633419,630.0,0.0
2,4.0,13.134226079011913,9.134226079011913,46.50544251607672,77.52447969785688,630.0,0.0
3,4.0,13.338719915113398,9.338719915113398,45.909993598434944,77.52346757058822,630.0,0.0
4,4.0,13.465127880782944,9.465127880782944,45.59697452037123,77.52275141599556,630.0,0.0
5,4.0,13.501175814063993,9.501175814063993,45.593360050342156,77.52243467821069,630.0,0.0
6,4.0,13.47511772061188,9.47511772061188,45.79930520839251,77.52248974511173,630.0,0.0
7,4.0,13.406007869970722,9.406007869970722,46.152735342326835,77.5228408796734,630.0,0.0
8,4.0,13.311527486498747,9.311527486498747,46.59685396314389,77.52335046215248,630.0,0.0
9,4.0,13.198406964066413,9.198406964066413,47.111893134627124,77.52388753084492,630.0,0.0
10,4.0,13.075888676428889,9.075888676428889,47.66812360687533,77.52434889418845,630.0,0.0
11,4.0,12.947574129356457,8.947574129356457,48.25422561995374,77.52465872079057,630.0,0.0
12,4.0,12.816837962190087,8.816837962190087,48.859014611876965,77.52478261318245,630.0,0.0
13,4.0,12.685530344650319,8.685530344650319,49.47610815302696,77.52472066677348,630.0,0.0
14,4.0,12.554967167500946,8.554967167500946,50.10070995509354,77.5245346693648,630.0,0.0
15,4.0,12.42595795837782,8.42595795837782,50.72956938293214,77.52426618284069,630.0,0.0
16,4.0,12.299008740925766,8.299008740925766,51.36040851520228,77.5240045756642,630.0,0.0
17,4.0,12.17453592087765,8.17453592087765,51.99139941414967,77.52379115587745,630.0,0.0
18,4.0,12.05298912630028,8.05298912630028,52.61997148901672,77.52366713626235,630.0,0.0
19,4.0,11.934727362852682,7.934727362852682,53.24402653273211,77.52363264402429,630.0,0.0
20,4.0,11.819943264222593,7.819943264222593,53.8622169977815,77.52368089509368,630.0,0.0
21,4.0,11.708624919258263,7.708624919258263,54.47366503597502,77.52378418127776,630.0,0.0
22,4.0,11.600767836741824,7.600767836741824,55.07784932941397,77.52391501649595,630.0,0.0
23,4.0,11.496275282778633,7.496275282778633,55.674468474749865,77.52403202958077,630.0,0.0
24,4.0,11.39503304555995,7.39503304555995,56.26334076390525,77.5241214935213,630.0,0.0
25,4.0,11.296919476292407,7.296919476292407,56.84440125782854,77.524162865068,630.0,0.0
26,4.0,11.2018123774501,7.2018123774501,57.41763505224999,77.52416292853698,630.0,0.0
27,4.0,11.109599422613138,7.1095994226131385,57.983066459751754,77.5241354110137,630.0,0.0
28,4.0,11.02016066584825,7.02016066584825,58.54075236405423,77.52409410276579,630.0,0.0
29,4.0,10.933327957194132,6.933327957194132,59.090757094804744,77.524048068832,630.0,0.0
30,4.0,10.849056250847337,6.849056250847337,59.63317594715248,77.52399952850556,630.0,0.0
31,4.0,10.767176837052247,6.767176837052247,60.16809699682439,77.5239680138164,630.0,0.0
32,4.0,10.687623459687181,6.687623459687181,60.6956065517724,77.52394819853319,630.0,0.0
33,4.0,10.610232483094968,6.610232483094968,61.216008871651766,77.52394694810108,630.0,0.0
34,4.0,10.534669701987951,6.534669701987951,61.7309702897031,77.52394888413727,630.0,0.0
35,4.0,10.460416739887664,6.460416739887664,62.24307897259193,77.52394128902638,630.0,0.0
36,4.0,10.387131072361772,6.387131072361772,62.754121557599234,77.5239436520691,630.0,0.0
37,4.0,10.314611600944719,6.314611600944719,63.26534071700722,77.52397104318348,630.0,0.0
38,4.0,10.242680320853019,6.242680320853019,63.77763462017958,77.5240021440722,630.0,0.0
39,4.0,10.171227272385996,6.171227272385996,64.29164708559628,77.5240266819181,630.0,0.0
40,4.0,10.100163188327047,6.100163188327047,64.80789259862598,77.52405000386462,630.0,0.0
41,4.0,10.029410983566237,6.029410983566237,65.32675385258689,77.5240463500926,630.0,0.0
42,4.0,9.958941985201319,5.958941985201319,65.84855429847292,77.52403548124852,630.0,0.0
43,4.0,9.888704842221873,5.888704842221873,66.37357189606696,77.5240211533479,630.0,0.0
44,4.0,9.81867041636984,5.818670416369841,66.90204402708358,77.52400753726829,630.0,0.0
45,4.0,9.748782801625662,5.748782801625662,67.4342791490318,77.52397730800392,630.0,0.0
46,4.0,9.678998162754809,5.678998162754809,67.97085379285645,77.52396375393664,630.0,0.0
47,4.0,9.609203345080974,5.609203345080974,68.51235333298195,77.5239727238342,630.0,0.0
48,4.0,9.539365795320881,5.539365795320881,69.05926434759601,77.52398659586906,630.0,0.0
49,4.0,9.46944364887281,5.46944364887281,69.61202897568444,77.5239867854688,630.0,0.0
50,4.0,9.399393894078134,5.399393894078134,70.1710218329352,77.52399341845134,630.0,0.0
51,4.0,9.32917472145291,5.32917472145291,70.73662748293502,77.5240020416766,630.0,0.0
52,4.0,9.258774804512283,5.258774804512283,71.30920217431135,77.52401088607665,630.0,0.0
53,4.0,9.188159837034538,5.188159837034538,71.88912011890655,77.5240185930576,630.0,0.0
54,4.0,9.117267941335491,5.117267941335491,72.47674294542429,77.52402296688184,630.0,0.0
55,4.0,9.04614269917024,5.04614269917024,73.07246683859807,77.52402295512563,630.0,0.0
56,4.0,8.974708425250165,4.974708425250165,73.67667937016672,77.52402187891137,630.0,0.0
57,4.0,8.903001116989048,4.9030011169890475,74.28951091915953,77.52400604426855,630.0,0.0
58,4.0,8.831271118336918,4.831271118336918,74.90903010178526,77.52400536843794,630.0,0.0
59,4.0,8.759936983785567,4.7599369837855665,75.53156174708876,77.52400454334406,630.0,0.0
60,4.0,8.689331862804869,4.689331862804869,76.15448960215014,77.52400185978308,630.0,0.0
61,4.0,8.619626542651355,4.619626542651355,76.77591307541636,77.52399865873998,630.0,0.0
62,4.0,8.550963068753603,4.550963068753603,77.3944998293729,77.52398515342549,630.0,0.0
63,4.0,8.483404941206917,4.483404941206917,78.0092720270716,77.52399284899285,630.0,0.0
64,4.0,8.416994068061165,4.416994068061165,78.61953842995435,77.52398416688341,630.0,0.0
65,4.0,8.351756786554265,4.351756786554265,79.22480861428436,77.52400059715649,630.0,0.0
66,4.0,8.28768178348767,4.28768178348767,79.82473357924255,77.52400208859339,630.0,0.0
67,4.0,8.224759233320153,4.224759233320153,80.41913699688655,77.52399612626678,630.0,0.0
68,4.0,8.162937800702354,4.162937800702354,81.00816233062622,77.5239886105188,630.0,0.0
69,4.0,8.102177851256384,4.102177851256384,81.59195393003439,77.52398825361657,630.0,0.0
70,4.0,8.042410556793055,4.042410556793055,82.1706432619179,77.52399642624626,630.0,0.0
71,4.0,7.983613385847125,3.983613385847125,82.74435701882788,77.52400240048966,630.0,0.0
72,4.0,7.925757506743596,3.9257575067435964,83.31317389737241,77.52400500572719,630.0,0.0
73,4.0,7.868795932485491,3.868795932485491,83.87717440347164,77.52400944448357,630.0,0.0
74,4.0,7.812702868971964,3.8127028689719644,84.43642968556907,77.52402035870057,630.0,0.0
75,4.0,7.757446563556589,3.757446563556589,84.9910003915799,77.52401360378273,630.0,0.0
