Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Req Torque (Nm),Req Brake Torque (Nm)
0,4.0,11.776710093392287,7.776710093392287,42.32379883643541,77.55311402509848,-0.0,0.0
1,4.0,12.025807692293533,8.025807692293533,41.59539012561911,77.5329955003076,630.0,0.0
2,4.0,12.269752433081885,8.269752433081885,40.91642639411805,77.51492865197758,630.0,0.0
3,4.0,12.464441828408267,8.464441828408267,40.425247662496375,77.50219771054806,630.0,0.0
4,4.0,12.59590062139303,8.59590062139303,40.15120745217123,77.49631075387444,630.0,0.0
5,4.0,12.636954478746988,8.636954478746988,40.168464606683585,77.49714389026151,630.0,0.0
6,4.0,12.632044317826923,8.632044317826923,40.33131416567532,77.50323060283137,630.0,0.0
7,4.0,12.560072983429373,8.560072983429373,40.70932678122925,77.51234681793751,630.0,0.0
8,4.0,12.467897296011913,8.467897296011913,41.15653800386511,77.52205529532537,630.0,0.0
9,4.0,12.331483782993779,8.331483782993779,41.757659089181395,77.53029037736933,630.0,0.0
10,4.0,12.192232796281202,8.192232796281202,42.3796600346115,77.53568176415595,630.0,0.0
11,4.0,12.03899146035334,8.03899146035334,43.06331241368085,77.5376923548403,630.0,0.0
12,4.0,11.893687678801781,7.893687678801781,43.73257892578501,77.53655633535458,630.0,0.0
13,4.0,11.74899187104771,7.748991871047711,44.4133223282208,77.5331000253569,630.0,0.0
14,4.0,11.610008864480983,7.610008864480983,45.08595299226834,77.52849368281478,630.0,0.0
15,4.0,11.474604915524504,7.474604915524504,45.757385735211464,77.52385297492393,630.0,0.0
16,4.0,11.343446420879795,7.343446420879795,46.42462502513295,77.52013489889097,630.0,0.0
17,4.0,11.216063792870948,7.216063792870948,47.08859302902458,77.51791776759417,630.0,0.0
18,4.0,11.09238711690003,7.09238711690003,47.74902404665695,77.5173531180634,630.0,0.0
19,4.0,10.972175961810208,6.972175961810208,48.40600975051913,77.51822077819291,630.0,0.0
20,4.0,10.855249819899278,6.855249819899278,49.059602005989106,77.52010047009925,630.0,0.0
21,4.0,10.741476308042897,6.7414763080428965,49.70986407805938,77.52240021772982,630.0,0.0
22,4.0,10.630674336499174,6.630674336499174,50.356872734822936,77.52458973601313,630.0,0.0
23,4.0,10.522726206064382,6.522726206064382,51.00067933804747,77.52623533850274,630.0,0.0
24,4.0,10.4174770043159,6.4174770043159,51.64128870533203,77.52712357346049,630.0,0.0
25,4.0,10.315017423999514,6.315017423999514,52.277728339682405,77.52720622115133,630.0,0.0
26,4.0,10.21551771677391,6.21551771677391,52.90853545996793,77.52662102886212,630.0,0.0
27,4.0,10.119011145095834,6.119011145095834,53.532738396812306,77.52562947633419,630.0,0.0
28,4.0,10.025503837653567,6.025503837653567,54.14971863420643,77.52447969785688,630.0,0.0
29,4.0,9.934927823365294,5.934927823365294,54.75909017857342,77.52346757058822,630.0,0.0
30,4.0,9.847189053189132,5.8471890531891315,55.3606589277672,77.52275141599556,630.0,0.0
31,4.0,9.762175374653877,5.762175374653877,55.954294820206066,77.52243467821069,630.0,0.0
32,4.0,9.679814333189437,5.679814333189437,56.53995580164392,77.52248974511173,630.0,0.0
33,4.0,9.599952846486609,5.599952846486609,57.117658131113984,77.5228408796734,630.0,0.0
34,4.0,9.522487334621852,5.522487334621852,57.68743993474041,77.52335046215248,630.0,0.0
35,4.0,9.44732377791616,5.447323777916161,58.2493748429317,77.52388753084492,630.0,0.0
36,4.0,9.37437760518163,5.37437760518163,58.803545008930854,77.52434889418845,630.0,0.0
37,4.0,9.303552318680786,5.3035523186807865,59.35002699227987,77.52465872079057,630.0,0.0
38,4.0,9.2347105108827,5.2347105108826995,59.8889207413659,77.52478261318245,630.0,0.0
39,4.0,9.167809963475896,5.1678099634758965,60.420330180604005,77.52472066677348,630.0,0.0
40,4.0,9.102727378246646,5.102727378246646,60.94436648007822,77.5245346693648,630.0,0.0
41,4.0,9.039274606135422,5.039274606135422,61.4619880723401,77.52426618284069,630.0,0.0
42,4.0,8.977087105674453,4.977087105674453,61.97546188953383,77.5240045756642,630.0,0.0
43,4.0,8.915783323490707,4.915783323490707,62.486973291453275,77.52379115587745,630.0,0.0
44,4.0,8.855135143084514,4.855135143084514,62.998027218697935,77.52366713626235,630.0,0.0
45,4.0,8.794967810111917,4.794967810111917,63.50969858667384,77.52363264402429,630.0,0.0
46,4.0,8.735172168965784,4.735172168965784,64.02276166612106,77.52368089509368,630.0,0.0
47,4.0,8.675660678811765,4.675660678811765,64.53780675201452,77.52378418127776,630.0,0.0
48,4.0,8.61638383869854,4.616383838698541,65.05527021399611,77.52391501649595,630.0,0.0
49,4.0,8.55727275097896,4.55727275097896,65.57550395718486,77.52403202958077,630.0,0.0
50,4.0,8.498308485915603,4.498308485915603,66.09881589762475,77.5241214935213,630.0,0.0
51,4.0,8.439451864717613,4.439451864717613,66.62546060094303,77.524162865068,630.0,0.0
52,4.0,8.380674921231567,4.3806749212315665,67.15568341117802,77.52416292853698,630.0,0.0
53,4.0,8.321945936519269,4.321945936519269,67.68991429985024,77.5241354110137,630.0,0.0
54,4.0,8.263169420333767,4.263169420333767,68.22877689681974,77.52409410276579,630.0,0.0
55,4.0,8.204300178116434,4.2043001781164335,68.77281419347072,77.524048068832,630.0,0.0
56,4.0,8.145312922698723,4.145312922698723,69.3224741811898,77.52399952850556,630.0,0.0
57,4.0,8.086145494549756,4.086145494549756,69.87817110414535,77.5239680138164,630.0,0.0
58,4.0,8.02678987124085,4.026789871240849,70.44026262351241,77.52394819853319,630.0,0.0
59,4.0,7.9672129466864785,3.9672129466864785,71.0091481247217,77.52394694810108,630.0,0.0
60,4.0,7.907393593707276,3.907393593707276,71.58518893694155,77.52394888413727,630.0,0.0
61,4.0,7.847320827801701,3.847320827801701,72.16874947500142,77.52394128902638,630.0,0.0
62,4.0,7.786932454891849,3.786932454891849,72.76018334559248,77.5239436520691,630.0,0.0
63,4.0,7.726271725276351,3.7262717252763506,73.3599093189251,77.52397104318348,630.0,0.0
64,4.0,7.665277991277038,3.665277991277038,73.96831119391915,77.5240021440722,630.0,0.0
65,4.0,7.604061801120248,3.604061801120248,74.58456264726088,77.5240266819181,630.0,0.0
66,4.0,7.542942947227611,3.542942947227611,75.20567341561757,77.52405000386462,630.0,0.0
67,4.0,7.482250122304218,3.482250122304218,75.82849701530279,77.5240463500926,630.0,0.0
68,4.0,7.42219463041256,3.4221946304125597,76.45079720870407,77.52403548124852,630.0,0.0
69,4.0,7.362917878936811,3.362917878936811,77.07092684488056,77.5240211533479,630.0,0.0
70,4.0,7.304486198515602,3.304486198515602,77.68773185775134,77.52400753726829,630.0,0.0
71,4.0,7.246975377199392,3.2469753771993917,78.30038711920058,77.52397730800392,630.0,0.0
