Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm)
0,4.0,5.079526636825746,1.0795266368257463,69.08972619789843,67.95947191523175,479.35998928546906,0.0
1,4.0,5.083093330506938,1.0830933305069381,69.03035968656881,67.95947786026059,480.1089949585193,0.0
2,4.0,5.079491801416123,1.0794918014161228,69.06854959602097,67.95947752280068,479.3526738494481,0.0
3,4.0,5.0729222236957625,1.0729222236957625,69.14630470731588,67.9594799454403,477.9730625281724,0.0
4,4.0,5.06434655225951,1.0643465522595097,69.25024545660634,67.95947928336344,476.17217152655934,0.0
5,4.0,5.054579633629096,1.0545796336290962,69.3705757029178,67.95947993491875,474.12111861417253,0.0
6,4.0,5.044031527354182,1.044031527354182,69.5007974595072,67.95948083166894,471.90601629644055,0.0
7,4.0,5.033038701701771,1.0330387017017708,69.63606687025485,67.95947965083292,469.5975229094342,0.0
8,4.0,5.0219580414491025,1.0219580414491025,69.77296693680161,67.95947455595201,467.27058425637387,0.0
9,4.0,5.010870939418692,1.0108709394186919,69.90909336343358,67.95947754520105,464.94229282998765,0.0
10,4.0,4.999910847824424,0.9999108478244239,70.04278346972197,67.95947652792233,547.5538325063615,0.0
11,4.0,4.987272258029399,0.9872722580293987,70.19949546832855,67.95947796689158,544.8997286494061,0.0
12,4.0,4.970340072051497,0.9703400720514974,70.41541747515379,67.95947538013597,541.3439695940468,0.0
13,4.0,4.9506278210338985,0.9506278210338985,70.67016381047256,67.95947090075184,537.204396880351,0.0
14,4.0,4.929204024675468,0.9292040246754683,70.94864089256991,67.95946647515471,532.7053996450807,0.0
15,4.0,4.90681918363732,0.9068191836373201,71.24040477295821,67.95947048218594,528.0045830270695,0.0
16,4.0,4.883936424738959,0.883936424738959,71.53838768419352,67.95947064237855,523.1992036584137,0.0
17,4.0,4.860953017667462,0.8609530176674616,71.8375360479911,67.95947242255366,518.3726881733993,0.0
18,4.0,4.838107337619596,0.8381073376195962,72.13428547127445,67.959482830123,513.5750953633476,0.0
19,4.0,4.815604391926147,0.8156043919261471,72.42610038052071,67.95948097156653,508.8494767677233,0.0
20,4.0,4.793509712614301,0.7935097126143011,72.71118710764476,67.95948880121658,504.2095941122356,0.0
21,4.0,4.771923224178914,0.7719232241789138,72.98831682795331,67.95948458241206,499.6764315408043,0.0
22,4.0,4.750857919334068,0.7508579193340683,73.2566900050078,67.95948674165255,495.25271752338676,0.0
23,4.0,4.7304124570747,0.7304124570747001,73.51573181772791,67.95948218260718,490.95917044891945,0.0
24,4.0,4.710509005772587,0.7105090057725869,73.76516330584174,67.95947932449252,486.7794456754757,0.0
25,4.0,4.691240665763536,0.6912406657635364,74.00476191580441,67.9594774080725,482.7330942735751,0.0
26,4.0,4.672542744724287,0.6725427447242867,74.2345013990616,67.95947944670687,478.80653085533265,0.0
27,4.0,4.654420551729409,0.6544205517294088,74.45440629697441,67.95947023375341,475.0008703264083,0.0
28,4.0,4.636863781571427,0.6368637815714271,74.664560831859,67.95946817789249,471.3139485932321,0.0
29,4.0,4.61986151082631,0.6198615108263104,74.86509934999093,67.95946995066349,467.7434717367576,0.0
30,4.0,4.603411617340921,0.603411617340921,75.05615189194093,67.95946989731783,464.28899410482586,0.0
31,4.0,4.5874848218938356,0.5874848218938356,75.2379288097185,67.95946927572895,460.9443670609379,0.0
32,4.0,4.572066707043707,0.5720667070437067,75.41060168684683,67.9594719815954,457.7065629424108,0.0
33,4.0,4.557165262897965,0.5571652628979651,75.57438200217499,67.95947060216282,454.5772596718051,0.0
34,4.0,4.542733224822748,0.5427332248227481,75.72943059567193,67.95946249977771,451.5465316760095,0.0
35,4.0,4.528776871834844,0.528776871834844,75.8759987894046,67.95947223938175,448.61569754854963,0.0
36,4.0,4.51525475803741,0.5152547580374103,76.01420314561062,67.95947223938185,445.77605365108855,0.0
37,4.0,4.502200504493867,0.5022005044938673,76.14405210357482,67.95947223938177,443.0346604069445,0.0
38,4.0,4.489588225073349,0.48958822507334876,76.26562721044678,67.95947223938182,440.3860817286356,0.0
39,4.0,4.477444066857931,0.47744406685793095,76.37902674446644,67.95947223938198,437.83580850339786,0.0
40,4.0,4.465727053210896,0.46572705321089636,76.48438272321455,67.95947223938177,435.3752356375206,0.0
41,4.0,4.454401795628894,0.45440179562889416,76.58190455919355,67.95947223938177,432.99693154530013,0.0
