Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm),Vehicle Distance (m)
0,4.0,13.405345275502413,9.405345275502413,35.93183125308048,67.9594714070794,800.0,0.0,133.799612313509
1,4.0,13.477443984234995,9.477443984234995,35.858609815282996,67.9594714070794,800.0,0.0,134.2451125383377
2,4.0,13.510255096308716,9.510255096308716,35.890245338430624,67.95947140707942,800.0,0.0,134.69065833091736
3,4.0,13.426027779320185,9.426027779320185,36.2340444354536,67.95947140707946,800.0,0.0,135.1331353187561
4,4.0,13.286604407338327,9.286604407338327,36.73249690407157,67.95947140707942,800.0,0.0,135.5694875717163
5,4.0,13.06162735967327,9.06162735967327,37.48288337318016,67.95947140707943,800.0,0.0,135.99651527404785
6,4.0,12.811980580284049,8.811980580284049,38.33008913538642,67.95947140707943,800.0,0.0,136.4123215675354
7,4.0,12.515364150323279,8.515364150323279,39.35422268756426,67.95947140707949,800.0,0.0,136.81456327438354
8,4.0,12.238881759471962,8.238881759471962,40.357416759118266,67.9594714070795,800.0,0.0,137.2026810646057
9,4.0,11.973344151993594,7.973344151993594,41.36500056557328,67.95947140707946,800.0,0.0,137.57705211639404
10,4.0,11.721576256824884,7.721576256824884,42.36427366254653,67.95947140707955,800.0,0.0,137.9377956390381
11,4.0,11.481355907222973,7.481355907222973,43.35945966303487,67.95947140707949,800.0,0.0,138.2848300933838
12,4.0,11.251832020670053,7.251832020670053,44.35066309643188,67.95947140707945,800.0,0.0,138.61839199066162
13,4.0,11.032065298387193,7.032065298387193,45.33845464256793,67.95947140707945,800.0,0.0,138.93799781799316
14,4.0,10.821351521357714,6.821351521357714,46.32310195305509,67.95947140707946,800.0,0.0,139.244047164917
15,4.0,10.61907266386862,6.61907266386862,47.30460838357074,67.95947140707955,800.0,0.0,139.53640937805176
16,4.0,10.425172214886521,6.425172214886521,48.28070996421563,67.95947140707958,800.0,0.0,139.81519889831543
17,4.0,10.239634144765324,6.239634144765324,49.24884777410318,67.95947140707968,800.0,0.0,140.0806064605713
18,4.0,10.062191803952846,6.062191803952846,50.207457111638696,67.95947140707959,800.0,0.0,140.33251762390137
19,4.0,9.89252370833092,5.89252370833092,51.155462631433245,67.9594714070796,800.0,0.0,140.57128524780273
20,4.0,9.73021353124439,5.73021353124439,52.09226692045919,67.95947140707953,800.0,0.0,140.79691123962402
21,4.0,9.57485213773145,5.574852137731449,53.017520126879496,67.95947140707943,800.0,0.0,141.00969886779785
22,4.0,9.426028521378147,5.4260285213781465,53.93103435175429,67.95947140707949,800.0,0.0,141.20985221862793
23,4.0,9.283300771437142,5.283300771437142,54.83278908618992,67.95947140707943,800.0,0.0,141.39702033996582
24,4.0,9.146356800709103,5.146356800709103,55.72265947130145,67.95947140707942,788.5039005317527,0.0,141.57203483581543
25,4.0,9.014789623609222,5.0147896236092215,56.60089387117065,67.95947152344777,776.005018707264,0.0,141.7347640991211
26,4.0,8.888284408252806,4.888284408252806,57.4674621176281,67.95947152344785,763.9870232484045,0.0,141.88531875610352
27,4.0,8.766542076131834,4.7665420761318344,58.322500505089344,67.95947152344776,752.4215016969122,0.0,142.0240707397461
28,4.0,8.649249593771065,4.649249593771065,59.16616523259653,67.95947152344776,741.2787158726392,0.0,142.15081405639648
29,4.0,8.536535656660307,4.536535656660307,59.996010553053104,67.95947152344782,730.5708918471171,0.0,142.26613426208496
30,4.0,8.428909970080255,4.428909970080255,60.806500463842426,67.95947152344777,720.3464516220122,0.0,142.37014389038086
31,4.0,8.326670251283486,4.3266702512834865,61.593233321572626,67.95947152344773,710.6336783363191,0.0,142.46292877197266
32,4.0,8.229565642316127,4.2295656423161265,62.35598767788633,67.95947152344776,701.4087404844199,0.0,142.54519271850586
33,4.0,8.136989276971512,4.136989276971512,63.097133762878755,67.95947152344775,692.6139857766816,0.0,142.6168613433838
34,4.0,8.048489873851715,4.0484898738517145,63.81849635373522,67.95947152344773,684.2065424803008,0.0,142.6784782409668
35,4.0,7.963669709766092,3.9636697097660916,64.52158114634557,67.95947152344773,676.1486268921666,0.0,142.73015594482422
36,4.0,7.88218811475875,3.8821881147587503,65.2077737535386,67.95947152344775,668.4078753664692,0.0,142.7722053527832
37,4.0,7.803735332000494,3.8037353320004943,65.8784217771992,67.95947152344773,660.9548610044349,0.0,142.80493545532227
38,4.0,7.7280519622525565,3.7280519622525565,66.53461204187818,67.95947152344773,653.7649408783807,0.0,142.82859420776367
39,4.0,7.654890624287849,3.654890624287849,67.1772650098064,67.9594714070794,646.8146137717335,0.0,142.84294891357422
40,4.0,7.584084454119527,3.5840844541195267,67.80716015203105,67.9594714070794,640.0880276057429,0.0,142.84867477416992
41,4.0,7.515452852930483,3.5154528529304834,68.42493961668464,67.9594714070794,633.5680254927838,0.0,142.8456687927246
42,4.0,7.44885076014826,3.44885076014826,69.03119161407167,67.9594714070795,627.2408266784726,0.0,142.83417892456055
43,4.0,7.384151816628601,3.3841518166286013,69.62641854479754,67.9594714070794,621.094427044105,0.0,142.81445693969727
44,4.0,7.321222534114698,3.321222534114698,70.21104036773703,67.95947140707945,615.1161452052842,0.0,142.78629191219807
45,4.0,7.259977439690782,3.2599774396907817,70.78548390878191,67.95947140707949,609.2978612350121,0.0,142.75028228759766
46,4.0,7.200305561045348,3.200305561045348,71.35009801980055,67.95947140707949,603.6290327636959,0.0,142.7062520980835
47,4.0,7.142133068424257,3.1421330684242568,71.90523733685755,67.95947140707942,598.1026459646923,0.0,142.65465927124023
48,4.0,7.085374460192045,3.085374460192045,72.45119519396663,67.95947140707945,592.7105781826322,0.0,142.59551334381104
49,4.0,7.029942021021839,3.0299420210218386,72.98824062682893,67.95947140707953,587.4444964614626,0.0,142.52863883972168
50,4.0,6.975778572448644,2.975778572448644,73.51667525127158,67.9594714070794,582.2989688470091,0.0,142.45445775985718
51,4.0,6.922822072411007,2.922822072411007,74.03671326830587,67.9594714070794,577.2681013434335,0.0,142.37305355072021
52,4.0,6.871008047481785,2.8710080474817854,74.5485937492207,67.9594714070794,572.3457689751575,0.0,142.2844409942627
53,4.0,6.820282806509036,2.820282806509036,75.05253106804808,67.9594714070794,567.5268710827463,0.0,142.18874645233154
54,4.0,6.770601110278837,2.770601110278837,75.54872905765156,67.95947140707943,562.8071099408774,0.0,142.08619689941406
55,4.0,6.721902061648087,2.7219020616480867,76.03738653707958,67.95947140707943,558.1807003209561,0.0,141.97662925720215
56,4.0,6.674176338845622,2.674176338845622,76.51845170382971,67.9594714070794,553.6467566547219,0.0,141.8604555130005
57,4.0,6.627431407479729,2.6274314074797287,76.991460300133,67.95947140707948,549.2059881749622,0.0,141.73767280578613
58,4.0,6.581685174144798,2.5816851741447984,77.45585602955187,67.95947140707949,544.8600960081437,0.0,141.60834980010986
59,4.0,6.536936973405191,2.536936973405191,77.91135189222612,67.95947140707952,540.609016937881,0.0,141.47266578674316
60,4.0,6.493191930242906,2.493191930242906,78.3577093175428,67.95947140707946,536.453237837464,0.0,141.33101272583008
61,4.0,6.450398319530343,2.4503983195303434,78.79485567767007,67.95947140707959,532.3878448197705,0.0,141.18283462524414
62,4.0,6.40855501699171,2.40855501699171,79.22276529827344,67.95947140707959,528.4127310786004,0.0,141.02873611450195
63,4.0,6.367635144433139,2.367635144433139,79.6414718463197,67.95947140707942,524.5253431855361,0.0,140.86884307861328
64,4.0,6.327617642792309,2.327617642792309,80.05103722982545,67.95947140707946,520.7236805296573,0.0,140.70343208312988
65,4.0,6.288452170931518,2.288452170931518,80.45154610647604,67.95947140707942,517.0029607028821,0.0,140.5321388244629
66,4.0,6.250122283219168,2.2501222832191683,80.84308807931544,67.9594714070794,513.3616213702089,0.0,140.3553295135498
67,4.0,6.2126010380595496,2.2126010380595496,81.22579643586019,67.9594714070794,509.7971030800451,0.0,140.17318534851074
68,4.0,6.175869505483853,2.1758695054838526,81.59977339337561,67.95947140707942,506.30760748535386,0.0,139.98598670959473
69,4.0,6.139890564704206,2.1398905647042064,81.96515086441883,67.95947140707942,502.8896081112875,0.0,139.79362678527832
70,4.0,6.104634746951318,2.1046347469513176,82.32203793298856,67.9594714070794,499.54030542476306,0.0,139.5961036682129
71,4.0,6.070085087973095,2.070085087973095,82.67054625894882,67.9594714070794,496.25808782183196,0.0,139.39368057250977
72,4.0,6.036222395506751,2.0362223955067513,83.01081350819199,67.9594714070794,493.0411320375293,0.0,139.18659210205078
73,4.0,6.0030197058231485,2.0030197058231485,83.34293601879143,67.9594714070794,489.886876517587,0.0,138.9748020172119
74,4.0,5.970465558795293,1.9704655587952926,83.66703192374139,67.9594714070794,486.7942325499407,0.0,138.75864791870117
75,4.0,5.938522765840059,1.9385227658400588,83.98320049224199,67.95947140707942,483.7596672191935,0.0,138.5378189086914
76,4.0,5.907184959491571,1.9071849594915706,84.29156038316698,67.9594714070794,480.7825756160871,0.0,138.3127326965332
77,4.0,5.876421530789046,1.8764215307890462,84.59220352070453,67.95947140707943,477.86004988934724,0.0,138.08317947387695
78,4.0,5.846241959240833,1.8462419592408326,84.88521875210459,67.95947140707945,474.992990592267,0.0,137.84986877441406
79,4.0,5.8166243278662,1.8166243278662,85.1707011430419,67.9594714070794,472.1793156116769,0.0,137.6127700805664
80,4.0,5.7875383642608105,1.7875383642608105,85.44872324837083,67.95947140707943,469.41614906916493,0.0,137.37160110473633
81,4.0,5.758961814265947,1.7589618142659473,85.71938335025503,67.95947140707949,466.70137681965286,0.0,137.12629318237305
82,4.0,5.730897222064267,1.730897222064267,85.98281322672493,67.95947140707952,464.03524056049326,0.0,136.8774070739746
83,4.0,5.703323753012324,1.7033237530123237,86.23912375385595,67.95947140707965,461.41576100055863,0.0,136.6249008178711
84,4.0,5.676227170122156,1.6762271701221563,86.48847045017351,67.95947140707973,458.8415856259927,0.0,136.36894607543945
85,4.0,5.649599414990419,1.6495994149904192,86.73092306843402,67.95947140707948,456.31194888847773,0.0,136.10971450805664
86,4.0,5.623422723627,1.6234227236269998,86.96661240836518,67.9594714070794,453.82516320895286,0.0,135.84722900390625
87,4.0,5.597677221198202,1.597677221198202,87.19559071095263,67.95947140707942,451.37934047821705,0.0,135.58132553100586
88,4.0,5.572357804522696,1.5723578045226958,87.41793479864198,67.95947140707945,448.973995894044,0.0,135.31222534179688
89,4.0,5.547457320384794,1.5474573203847939,87.63370719444497,67.9594714070796,446.6084499009433,0.0,135.04006958007812
90,4.0,5.522968592388186,1.5229685923881862,87.84296610698422,67.95947140707968,444.28202074126557,0.0,134.76498413085938
91,4.0,5.498887786696511,1.4988877866965113,88.0457612651816,67.95947140707949,441.9943442005565,0.0,134.48715591430664
92,4.0,5.475210676583007,1.475210676583007,88.24213050509331,67.95947140707955,439.74501873977357,0.0,134.20673751831055
93,4.0,5.451921552865958,1.451921552865958,88.43211313065166,67.95947140707969,437.53255198665386,0.0,133.9235954284668
94,4.0,5.429013496208211,1.4290134962082108,88.615772517714,67.95947140707976,435.35628660416796,0.0,133.6378402709961
95,4.0,5.4064746233643035,1.4064746233643035,88.79313889651155,67.95947140707966,433.2150936839967,0.0,133.34940338134766
96,4.0,5.384304009098298,1.3843040090982983,88.96423956937832,67.95947140707949,431.1088853287263,0.0,133.05847549438477
97,4.0,5.362502361853426,1.3625023618534264,89.12912650018735,67.95947140707943,429.0377288404634,0.0,132.76531982421875
98,4.0,5.341062757166315,1.3410627571663154,89.28783860909064,67.95947140707953,427.00096639518785,0.0,132.46998596191406
99,4.0,5.319974836635454,1.3199748366354536,89.44039394038336,67.95947140707946,424.997613944756,0.0,132.17240142822266
100,4.0,5.299236778064567,1.299236778064567,89.58687491433797,67.95947140707945,423.02749838052176,0.0,131.87279510498047
101,4.0,5.278848755834279,1.2788487558342787,89.72725589754506,67.9594714070794,421.0906362686444,0.0,131.57128143310547
102,4.0,5.258798686745479,1.2587986867454788,89.86159215758171,67.9594714070794,419.1858797052084,0.0,131.26778411865234
103,4.0,5.23909445701355,1.2390944570135503,89.98992544853688,67.95947140707942,417.31397788067517,0.0,130.96269989013672
104,4.0,5.219720552747444,1.219720552747444,90.11228277357947,67.9594714070794,415.47345697539504,0.0,130.65581512451172
105,4.0,5.200681369330789,1.2006813693307894,90.22870374113549,67.9594714070794,413.6647345508129,0.0,130.34742736816406
106,4.0,5.181960839623733,1.1819608396237333,90.33922675516399,67.9594714070794,411.8862842286426,0.0,130.03731536865234
107,4.0,5.163551294886817,1.1635512948868172,90.44387275121916,67.9594714070794,410.1373774786355,0.0,129.72543784976006
108,4.0,5.145461473055303,1.1454614730553034,90.5426683689293,67.9594714070794,408.41884440464173,0.0,129.4121699333191
109,4.0,5.127685701854396,1.1276857018543964,90.63567358141682,67.9594714070794,406.7301461405556,0.0,129.09756875038147
110,4.0,5.110227570912161,1.1102275709121612,90.72291624440852,67.9594714070794,405.0716237010432,0.0,128.78187441825867
