cycle_index,desired_time_gap_s,actual_time_gap_s
0,2.0,40.81671966315231
1,2.0,20.673527780387754
2,2.0,16.263379076229644
3,2.0,15.758556040493824
4,2.0,19.76699605507883
5,2.0,27.413005691512296
6,2.0,43.6523309756949
7,2.0,90.26073519326175
8,2.0,195.24203271004498
9,2.0,106.85825305014401
10,2.0,88.00087009497736
11,2.0,86.25476726388769
12,2.0,94.67893850578083
13,2.0,114.14577355989837
14,2.0,151.233454474103
15,2.0,53.34364197728789
16,2.0,27.518018395489644
17,2.0,18.89647728636974
18,2.0,14.743349592236061
19,2.0,12.599592064954715
20,2.0,10.674155012992088
21,2.0,9.455921255727747
22,2.0,8.41199958217345
23,2.0,7.601679258373741
24,2.0,6.966058938380262
25,2.0,6.456844232397447
26,2.0,6.033336819637053
27,2.0,5.672409313846937
28,2.0,5.359340671467571
29,2.0,5.084242559235802
30,2.0,4.840230714433151
31,2.0,4.712704173680886
32,2.0,4.756220205781963
33,2.0,4.788247634694994
34,2.0,4.8416869392957915
35,2.0,4.8700383745098685
36,2.0,4.905013583918441
37,2.0,4.89735012533744
38,2.0,4.882256774897787
39,2.0,4.815282691258888
40,2.0,4.7313503709733284
41,2.0,4.6006776903631765
42,2.0,4.464499063119673
43,2.0,4.250025234986185
44,2.0,4.027353480989988
45,2.0,3.8881865207417867
46,2.0,3.7754127495349463
47,2.0,3.694009117210085
48,2.0,3.6005006830054587
49,2.0,3.5023564085202668
50,2.0,3.4026683592076057
51,2.0,3.3025024978297677
52,2.0,3.200641580407606
53,2.0,3.102451915647747
54,2.0,3.0108495961260697
55,2.0,2.9236757769378894
56,2.0,2.8429257732658573
57,2.0,2.7675084680785487
58,2.0,2.6957752503073396
59,2.0,2.6268234628299183
60,2.0,2.5603135735413898
61,2.0,2.4962372184272574
62,2.0,2.4339742742520682
63,2.0,2.373112210431786
64,2.0,2.3138999847117017
65,2.0,2.256746444280165
66,2.0,2.2038742204767243
67,2.0,2.16583030203305
68,2.0,2.1475892176572646
69,2.0,2.1442265516277574
70,2.0,2.15076366883736
71,2.0,2.1643388594904054
72,2.0,2.183673649401878
73,2.0,2.207088780187583
74,2.0,2.233440990421898
75,2.0,2.2621847098862413
76,2.0,2.2931209673454083
77,2.0,2.325625192001993
78,2.0,2.359003171805922
79,2.0,2.393160713227813
80,2.0,2.4277493848644314
81,2.0,2.4620036432835293
82,2.0,2.4943921954817405
83,2.0,2.5279268576464977
84,2.0,2.560209890122058
85,2.0,2.5912459785728665
86,2.0,2.620744175111195
87,2.0,2.6494847869965934
88,2.0,2.677182586734159
89,2.0,2.7033447655670777
90,2.0,2.727922738681411
91,2.0,2.7518640342896385
92,2.0,2.7749535654159647
93,2.0,2.797014169677869
94,2.0,2.8179346847140136
95,2.0,2.8384442665691996
96,2.0,2.858852535793057
97,2.0,2.8793661050088506
98,2.0,2.8994096546489643
99,2.0,2.9192378035499966
100,2.0,2.9398349312851986
101,2.0,2.9607353769934956
102,2.0,2.9813851602798107
103,2.0,3.001353786636346
104,2.0,3.020952879507925
